Fact,Fact Note,Georgia,Value Note for Georgia
"Population estimates, July 1, 2019,  (V2019)",,"10,617,423",
"Population estimates base, April 1, 2010,  (V2019)",,"9,688,729",
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",,9.60%,
"Population, Census, April 1, 2010",,"9,687,653",
"Persons under 5 years, percent",,6.20%,
"Persons under 18 years, percent",,23.60%,
"Persons 65 years and over, percent",,14.30%,
"Female persons, percent",,51.40%,
"White alone, percent",,60.20%,
"Black or African American alone, percent",(a),32.60%,
"American Indian and Alaska Native alone, percent",(a),0.50%,
"Asian alone, percent",(a),4.40%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.10%,
"Two or More Races, percent",,2.20%,
"Hispanic or Latino, percent",(b),9.90%,
"White alone, not Hispanic or Latino, percent",,52.00%,
"Veterans, 2014-2018",,"636,725",
"Foreign born persons, percent, 2014-2018",,10.10%,
"Housing units,  July 1, 2019,  (V2019)",,"4,378,391",
"Owner-occupied housing unit rate, 2014-2018",,63.10%,
"Median value of owner-occupied housing units, 2014-2018",,"$166,800 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,383 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$418 ,
"Median gross rent, 2014-2018",,$968 ,
"Building permits, 2019",,"53,823",
"Households, 2014-2018",,"3,709,488",
"Persons per household, 2014-2018",,2.71,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,84.60%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,13.90%,
"Households with a computer, percent, 2014-2018",,88.60%,
"Households with a broadband Internet subscription, percent, 2014-2018",,79.00%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,86.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,30.70%,
"With a disability, under age 65 years, percent, 2014-2018",,8.70%,
"Persons  without health insurance, under age 65 years, percent",,15.70%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,62.40%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"18,976,611",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"51,800,643",
"Total manufacturers shipments, 2012 ($1,000)",(c),"155,836,792",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"143,645,290",
"Total retail sales, 2012 ($1,000)",(c),"119,801,495",
"Total retail sales per capita, 2012",(c),"$12,077 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,28.4,
"Median household income (in 2018 dollars), 2014-2018",,"$55,679 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$29,523 ",
"Persons in poverty, percent",,14.30%,
"Total employer establishments, 2018",,"235,847",
"Total employment, 2018",,"3,975,657",
"Total annual payroll, 2018 ($1,000)",,"204,050,872",
"Total employment, percent change, 2017-2018",,2.20%,
"Total nonemployer establishments, 2018",,"955,621",
"All firms, 2012",,"929,864",
"Men-owned firms, 2012",,"480,578",
"Women-owned firms, 2012",,"376,506",
"Minority-owned firms, 2012",,"371,588",
"Nonminority-owned firms, 2012",,"538,893",
"Veteran-owned firms, 2012",,"96,787",
"Nonveteran-owned firms, 2012",,"800,585",
"Population per square mile, 2010",,168.4,
"Land area in square miles, 2010",,"57,513.49",
FIPS Code,,"""13""",
,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,
,,,
Value Notes,,,
None,,,
,,,
Fact Notes,,,
(a),Includes persons reporting only one race,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,
,,,
Value Flags,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,
D,Suppressed to avoid disclosure of confidential information,,
F,Fewer than 25 firms,,
FN,Footnote on this item in place of data,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,
NA,Not available,,
S,Suppressed; does not meet publication standards,,
X,Not applicable,,
Z,Value greater than zero but less than half unit of measure shown,,
